group,n_videos,flicker_mean,flicker_std,niqe_mean,niqe_std,num_frames_mean,num_frames_std,duration_sec_mean,duration_sec_std
frame_baseline_21,25,0.0489,0.0372,23.3365,2.8428,32.0,0.0,5.062,0.0
frame_baseline_72,25,0.0659,0.0365,22.8366,2.5427,32.0,0.0,17.812,0.0
head_baseline_21,25,0.0489,0.0372,23.3365,2.8428,32.0,0.0,5.062,0.0
head_baseline_72,25,0.0659,0.0365,22.8366,2.5427,32.0,0.0,17.812,0.0
osc_long_21,25,0.0489,0.0372,23.3365,2.8428,32.0,0.0,5.062,0.0
osc_long_72,25,0.0672,0.0446,22.8324,2.6621,32.0,0.0,17.812,0.0
osc_short_21,25,0.0507,0.0337,23.2054,2.8016,32.0,0.0,5.062,0.0
osc_short_72,25,0.0834,0.0382,23.1206,2.7557,32.0,0.0,17.812,0.0
stable_long_21,25,0.0489,0.0372,23.3365,2.8428,32.0,0.0,5.062,0.0
stable_long_72,25,0.0767,0.0492,22.9769,2.7365,32.0,0.0,17.812,0.0
stable_short_21,25,0.0464,0.0348,23.1907,2.8279,32.0,0.0,5.062,0.0
stable_short_72,25,0.0654,0.0397,23.1357,2.4534,32.0,0.0,17.812,0.0
